n,sortusingbst.ticks,4*(n+1)n/2
100,20200,20200
200,80400,80400
300,180600,180600
400,320800,320800
500,501000,501000
600,721200,721200
700,981400,981400
800,1281600,1281600
900,1621800,1621800
1000,2002000,2002000
1100,2422200,2422200
1200,2882400,2882400
1300,3382600,3382600
1400,3922800,3922800
1500,4503000,4503000
1600,5123200,5123200
1700,5783400,5783400
1800,6483600,6483600
1900,7223800,7223800
2000,8004000,8004000
2100,8824200,8824200
2200,9684400,9684400
2300,10584600,10584600
2400,11524800,11524800
2500,12505000,12505000
2600,13525200,13525200
2700,14585400,14585400
2800,15685600,15685600
2900,16825800,16825800
3000,18006000,18006000
3100,19226200,19226200
3200,20486400,20486400
3300,21786600,21786600
3400,23126800,23126800
3500,24507000,24507000
3600,25927200,25927200
3700,27387400,27387400
3800,28887600,28887600
3900,30427800,30427800
4000,32008000,32008000
4100,33628200,33628200
4200,35288400,35288400
4300,36988600,36988600
4400,38728800,38728800
4500,40509000,40509000
4600,42329200,42329200
4700,44189400,44189400
4800,46089600,46089600
4900,48029800,48029800
5000,50010000,50010000
5100,52030200,52030200
5200,54090400,54090400
5300,56190600,56190600
5400,58330800,58330800
5500,60511000,60511000
5600,62731200,62731200
5700,64991400,64991400
5800,67291600,67291600
5900,69631800,69631800
6000,72012000,72012000
6100,74432200,74432200
6200,76892400,76892400
6300,79392600,79392600
6400,81932800,81932800
6500,84513000,84513000
6600,87133200,87133200
6700,89793400,89793400
6800,92493600,92493600
6900,95233800,95233800
7000,98014000,98014000
7100,100834200,100834200
7200,103694400,103694400
7300,106594600,106594600
7400,109534800,109534800
7500,112515000,112515000
7600,115535200,115535200
7700,118595400,118595400
7800,121695600,121695600
7900,124835800,124835800
8000,128016000,128016000
8100,131236200,131236200
8200,134496400,134496400
8300,137796600,137796600
8400,141136800,141136800
8500,144517000,144517000
8600,147937200,147937200
8700,151397400,151397400
8800,154897600,154897600
8900,158437800,158437800
9000,162018000,162018000
9100,165638200,165638200
9200,169298400,169298400
9300,172998600,172998600
9400,176738800,176738800
9500,180519000,180519000
9600,184339200,184339200
9700,188199400,188199400
9800,192099600,192099600
9900,196039800,196039800